Question 1,Question 2,Question 3,Question 4,Question 5,Respondent Age,Respondent Occupation
1,2,10,Difference-Removing Mechanism ,No,22,Student
1,8,4,Difference-Honoring Mechanism,No,28,Software Engineer
2,4,4,Difference-Honoring Mechanism,"Yes, I am a mother",33,Nurse
4,1,10,Difference-Denying Mechanism,No,38,Doctor
7,3,5,Difference-Denying Mechanism,No,41,Teacher
1,1,10,Difference-Removing Mechanism,No,21,Student
4,1,8,Difference-Denying Mechanism,"Yes, I am a mother",43,Accountant
5,6,9,Difference-Denying Mechanism,"Yes, I am a mother",52,Doctor
4,4,8,Difference-Removing Mechanism,No,55,Product Manager
6,3,9,Difference-Honoring Mechanism,"Yes, I am a mother",39,Psychiatrist
